Year,Award,Winner,Name,Film
1942,Actress in a Supporting Role,0,Gladys Cooper,"Now, Voyager"
1964,Actress in a Supporting Role,0,Gladys Cooper,My Fair Lady
1947,Actress in a Supporting Role,0,Gloria Grahame,Crossfire
1970,Actress in a Leading Role,1,Glenda Jackson,Women in Love
1975,Actress in a Leading Role,0,Glenda Jackson,Hedda
1982,Actress in a Supporting Role,0,Glenn Close,The World According to Garp
2011,Actress in a Leading Role,0,Glenn Close,Albert Nobbs
1952,Actress in a Supporting Role,1,Gloria Grahame,The Bad and the Beautiful
1997,Actress in a Supporting Role,0,Gloria Stuart,Titanic
1930,Actress in a Leading Role,0,Greta Garbo,Anna Christie
1934,Actress in a Leading Role,0,Grace Moore,One Night of Love
1953,Actress in a Supporting Role,0,Grace Kelly,Mogambo
1960,Actress in a Supporting Role,0,Glynis Johns,The Sundowners
1969,Actress in a Supporting Role,1,Goldie Hawn,Cactus Flower
1980,Actress in a Leading Role,0,Goldie Hawn,Private Benjamin
1954,Actress in a Leading Role,1,Grace Kelly,The Country Girl
1937,Actress in a Leading Role,0,Greta Garbo,Camille
1939,Actress in a Leading Role,0,Greer Garson,"Goodbye, Mr. Chips"
1964,Actress in a Supporting Role,0,Grayson Hall,The Night of the Iguana
1990,Actor in a Supporting Role,0,Graham Greene,Dances With Wolves
1960,Actress in a Leading Role,0,Greer Garson,Sunrise at Campobello
1962,Actor in a Leading Role,1,Gregory Peck,To Kill a Mockingbird
1997,Actor in a Supporting Role,0,Greg Kinnear,As Good as It Gets
1939,Actress in a Leading Role,0,Greta Garbo,Ninotchka
1931,Actor in a Leading Role,0,Jackie Cooper,Skippy
1931,Actress in a Leading Role,0,Irene Dunne,Cimarron
1932,Actress in a Leading Role,1,Helen Hayes,The Sin of Madelon Claudet
1937,Actor in a Supporting Role,0,H. B. Warner,Lost Horizon
1998,Actress in a Leading Role,1,Gwyneth Paltrow,Shakespeare in Love
1939,Actress in a Supporting Role,1,Hattie McDaniel,Gone with the Wind
1939,Actor in a Supporting Role,0,Harry Carey,Mr. Smith Goes to Washington
1946,Actor in a Supporting Role,1,Harold Russell,The Best Years of Our Lives
1984,Actor in a Supporting Role,1,Haing S. Ngor,The Killing Fields
2010,Actress in a Supporting Role,0,Hailee Steinfeld,True Grit
1999,Actor in a Supporting Role,0,Haley Joel Osment,The Sixth Sense
2007,Actor in a Supporting Role,0,Hal Holbrook,Into the Wild
2001,Actress in a Leading Role,1,Halle Berry,Monster's Ball
1985,Actor in a Leading Role,0,Harrison Ford,Witness
1991,Actor in a Supporting Role,0,Harvey Keitel,Bugsy
1970,Actress in a Supporting Role,1,Helen Hayes,Airport
2005,Actor in a Leading Role,0,Heath Ledger,Brokeback Mountain
2008,Actor in a Supporting Role,1,Heath Ledger,The Dark Knight
1936,Actress in a Leading Role,0,Irene Dunne,Theodora Goes Wild
1940,Actor in a Leading Role,0,Henry Fonda,The Grapes of Wrath
1994,Actress in a Supporting Role,0,Helen Mirren,The Madness of King George
1997,Actress in a Leading Role,1,Helen Hunt,As Good as It Gets
2012,Actress in a Supporting Role,0,Helen Hunt,The Sessions
1997,Actress in a Leading Role,0,Helena Bonham Carter,The Wings of the Dove
2010,Actress in a Supporting Role,0,Helena Bonham Carter,The King's Speech
1981,Actor in a Leading Role,1,Henry Fonda,On Golden Pond
1981,Actor in a Supporting Role,0,Ian Holm,Chariots of Fire
1987,Actress in a Leading Role,0,Holly Hunter,Broadcast News
1999,Actress in a Leading Role,1,Hilary Swank,Boys Don't Cry
2004,Actress in a Leading Role,1,Hilary Swank,Million Dollar Baby
1993,Actress in a Supporting Role,0,Holly Hunter,The Firm
2012,Actor in a Leading Role,0,Hugh Jackman,Les Misí©rables
1998,Actor in a Leading Role,0,Ian McKellen,Gods and Monsters
2001,Actor in a Supporting Role,0,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring
2004,Actress in a Leading Role,0,Imelda Staunton,Vera Drake
1939,Actress in a Leading Role,0,Irene Dunne,Love Affair
1940,Actor in a Supporting Role,0,Jack Oakie,The Great Dictator
1943,Actor in a Supporting Role,0,J. Carrol Naish,Sahara
1975,Actress in a Leading Role,0,Isabelle Adjani,The Story of Adele H.
1989,Actress in a Leading Role,0,Isabelle Adjani,Camille Claudel
2016,Actress in a Leading Role,0,Isabelle Huppert,Elle
1945,Actor in a Supporting Role,0,J. Carrol Naish,A Medal for Benny
1955,Actor in a Supporting Role,1,Jack Lemmon,Mister Roberts
1960,Actor in a Supporting Role,0,Jack Kruschen,The Apartment
1968,Actor in a Supporting Role,1,Jack Albertson,The Subject Was Roses
2014,Actor in a Supporting Role,1,J.K. Simmons,Whiplash
1973,Actor in a Supporting Role,0,Jack Gilford,Save the Tiger
1962,Actor in a Leading Role,0,Jack Lemmon,Days of Wine and Roses
1982,Actor in a Leading Role,0,Jack Lemmon,Missing
1960,Actor in a Leading Role,0,Jack Lemmon,The Apartment
1969,Actor in a Supporting Role,0,Jack Nicholson,Easy Rider
2002,Actor in a Leading Role,0,Jack Nicholson,About Schmidt
1952,Actor in a Supporting Role,0,Jack Palance,Sudden Fear
1991,Actor in a Supporting Role,1,Jack Palance,City Slickers
2010,Actress in a Supporting Role,0,Jacki Weaver,Animal Kingdom
2012,Actress in a Supporting Role,0,Jacki Weaver,Silver Linings Playbook
1937,Actress in a Leading Role,0,Janet Gaynor,A Star Is Born
1938,Actor in a Leading Role,0,James Cagney,Angels with Dirty Faces
1961,Actor in a Supporting Role,0,Jackie Gleason,The Hustler
2006,Actor in a Supporting Role,0,Jackie Earle Haley,Little Children
1972,Actor in a Supporting Role,0,James Caan,The Godfather
2005,Actor in a Supporting Role,0,Jake Gyllenhaal,Brokeback Mountain
1955,Actor in a Leading Role,0,James Cagney,Love Me or Leave Me
1955,Actor in a Leading Role,0,James Dean,East of Eden
1981,Actor in a Supporting Role,0,James Coco,Only When I Laugh
1998,Actor in a Supporting Role,1,James Coburn,Affliction
1995,Actor in a Supporting Role,0,James Cromwell,Babe
1956,Actor in a Leading Role,0,James Dean,Giant
1959,Actor in a Leading Role,0,James Stewart,Anatomy of a Murder
1966,Actor in a Supporting Role,0,James Mason,Georgy Girl
1970,Actor in a Leading Role,0,James Earl Jones,The Great White Hope
1982,Actor in a Supporting Role,0,James Mason,The Verdict
1985,Actor in a Leading Role,0,James Garner,Murphy's Romance
2010,Actor in a Leading Role,0,James Franco,127 Hours
1969,Actress in a Leading Role,0,Jane Fonda,"They Shoot Horses, Don't They?"
1970,Actress in a Leading Role,0,Jane Alexander,The Great White Hope
1975,Actor in a Leading Role,0,James Whitmore,"Give 'em Hell, Harry!"
1976,Actress in a Supporting Role,0,Jane Alexander,All the President's Men
1986,Actor in a Leading Role,0,James Woods,Salvador
1996,Actor in a Supporting Role,0,James Woods,Ghosts of Mississippi
2004,Actor in a Leading Role,1,Jamie Foxx,Ray
2004,Actor in a Supporting Role,0,Jamie Foxx,Collateral
1983,Actress in a Leading Role,0,Jane Alexander,Testament
1971,Actress in a Leading Role,1,Jane Fonda,Klute
1986,Actress in a Leading Role,0,Jane Fonda,The Morning After
1928,Actor in a Leading Role,0,Richard Barthelmess,The Noose
1928,Actress in a Leading Role,0,Louise Dresser,A Ship Comes In
1929,Actor in a Leading Role,0,Lewis Stone,The Patriot
1929,Actress in a Leading Role,0,Jeanne Eagels,The Letter
1943,Actress in a Leading Role,0,Jean Arthur,The More the Merrier
1960,Actress in a Supporting Role,0,Janet Leigh,Psycho
1971,Actress in a Leading Role,0,Janet Suzman,Nicholas and Alexandra
1999,Actress in a Leading Role,0,Janet McTeer,Tumbleweeds
2011,Actress in a Supporting Role,0,Janet McTeer,Albert Nobbs
1973,Actor in a Supporting Role,0,Jason Miller,The Exorcist
2013,Actor in a Supporting Role,1,Jared Leto,Dallas Buyers Club
1976,Actor in a Supporting Role,1,Jason Robards,All the President's Men
1980,Actor in a Supporting Role,0,Jason Robards,Melvin and Howard
1992,Actor in a Supporting Role,0,Jaye Davidson,The Crying Game
2000,Actor in a Leading Role,0,Javier Bardem,Before Night Falls
2010,Actor in a Leading Role,0,Javier Bardem,Biutiful
1948,Actress in a Supporting Role,0,Jean Simmons,Hamlet
1952,Actress in a Supporting Role,0,Jean Hagen,Singin' in the Rain
2011,Actor in a Leading Role,1,Jean Dujardin,The Artist
1969,Actress in a Leading Role,0,Jean Simmons,The Happy Ending
1949,Actress in a Leading Role,0,Jeanne Crain,Pinky
1930,Actor in a Leading Role,0,Lawrence Tibbett,The Rogue Song
1933,Actress in a Leading Role,1,Katharine Hepburn,Morning Glory
1937,Actor in a Supporting Role,1,Joseph Schildkraut,The Life of Emile Zola
1938,Actor in a Supporting Role,0,John Garfield,Four Daughters
1940,Actress in a Leading Role,0,Joan Fontaine,Rebecca
1943,Actress in a Leading Role,1,Jennifer Jones,The Song of Bernadette
1950,Actor in a Supporting Role,0,Jeff Chandler,Broken Arrow
1971,Actor in a Supporting Role,0,Jeff Bridges,The Last Picture Show
1972,Actress in a Supporting Role,0,Jeannie Berlin,The Heartbreak Kid
1974,Actor in a Supporting Role,0,Jeff Bridges,Thunderbolt and Lightfoot
2016,Actor in a Supporting Role,0,Jeff Bridges,Hell or High Water
1955,Actress in a Leading Role,0,Jennifer Jones,Love Is a Many-Splendored Thing
2001,Actress in a Supporting Role,1,Jennifer Connelly,A Beautiful Mind
2006,Actress in a Supporting Role,1,Jennifer Hudson,Dreamgirls
2015,Actress in a Supporting Role,0,Jennifer Jason Leigh,The Hateful Eight
1946,Actress in a Leading Role,0,Jennifer Jones,Duel in the Sun
1947,Actress in a Leading Role,0,Joan Crawford,Possessed
1951,Actress in a Supporting Role,0,Joan Blondell,The Blue Veil
1955,Actress in a Supporting Role,1,Jo Van Fleet,East of Eden
1978,Actress in a Leading Role,0,Jill Clayburgh,An Unmarried Woman
1982,Actress in a Supporting Role,1,Jessica Lange,Tootsie
1990,Actor in a Leading Role,1,Jeremy Irons,Reversal of Fortune
1994,Actress in a Supporting Role,0,Jennifer Tilly,Bullets over Broadway
2010,Actress in a Leading Role,0,Jennifer Lawrence,Winter's Bone
2015,Actress in a Leading Role,0,Jennifer Lawrence,Joy
1994,Actress in a Leading Role,1,Jessica Lange,Blue Sky
2009,Actor in a Leading Role,0,Jeremy Renner,The Hurt Locker
2010,Actor in a Supporting Role,0,Jeremy Renner,The Town
2011,Actress in a Supporting Role,0,Jessica Chastain,The Help
2012,Actress in a Leading Role,0,Jessica Chastain,Zero Dark Thirty
1989,Actress in a Leading Role,0,Jessica Lange,Music Box
1991,Actress in a Supporting Role,0,Jessica Tandy,Fried Green Tomatoes
1979,Actress in a Leading Role,0,Jill Clayburgh,Starting Over
2001,Actor in a Supporting Role,1,Jim Broadbent,Iris
1995,Actress in a Supporting Role,0,Joan Allen,Nixon
2000,Actress in a Leading Role,0,Joan Allen,The Contender
1952,Actress in a Leading Role,0,Joan Crawford,Sudden Fear
1988,Actress in a Supporting Role,0,Joan Cusack,Working Girl
1997,Actress in a Supporting Role,0,Joan Cusack,In & Out
1941,Actress in a Leading Role,1,Joan Fontaine,Suspicion
1945,Actor in a Supporting Role,0,John Dall,The Corn Is Green
1945,Actress in a Supporting Role,0,Joan Lorring,The Corn Is Green
1981,Actress in a Supporting Role,0,Joan Hackett,Only When I Laugh
1955,Actor in a Supporting Role,0,Joe Mantell,Marty
1957,Actress in a Leading Role,1,Joanne Woodward,The Three Faces of Eve
1992,Actress in a Supporting Role,0,Joan Plowright,Enchanted April
1990,Actress in a Leading Role,0,Joanne Woodward,Mr. & Mrs. Bridge
1991,Actress in a Leading Role,1,Jodie Foster,The Silence of the Lambs
2000,Actor in a Supporting Role,0,Joaquin Phoenix,Gladiator
2012,Actor in a Leading Role,0,Joaquin Phoenix,The Master
1994,Actress in a Leading Role,0,Jodie Foster,Nell
1967,Actor in a Supporting Role,0,John Cassavetes,The Dirty Dozen
1972,Actor in a Supporting Role,1,Joel Grey,Cabaret
1980,Actor in a Supporting Role,0,Joe Pesci,Raging Bull
1990,Actor in a Supporting Role,1,Joe Pesci,Good Fellas
2002,Actor in a Supporting Role,0,John C. Reilly,Chicago
1947,Actor in a Leading Role,0,John Garfield,Body and Soul
1949,Actor in a Leading Role,0,John Wayne,Sands of Iwo Jima
1949,Actor in a Supporting Role,0,John Ireland,All the King's Men
1963,Actor in a Supporting Role,0,John Huston,The Cardinal
1964,Actor in a Supporting Role,0,John Gielgud,Becket
1981,Actor in a Supporting Role,1,John Gielgud,Arthur
2010,Actor in a Supporting Role,0,John Hawkes,Winter's Bone
1969,Actor in a Leading Role,1,John Wayne,True Grit
1970,Actor in a Supporting Role,1,John Mills,Ryan's Daughter
1970,Actor in a Supporting Role,0,John Marley,Love Story
1982,Actor in a Supporting Role,0,John Lithgow,The World According to Garp
1983,Actor in a Supporting Role,0,John Lithgow,Terms of Endearment
1984,Actor in a Supporting Role,0,John Malkovich,Places in the Heart
1993,Actor in a Supporting Role,0,John Malkovich,In the Line of Fire
1977,Actor in a Leading Role,0,John Travolta,Saturday Night Fever
1994,Actor in a Leading Role,0,John Travolta,Pulp Fiction
1969,Actor in a Leading Role,0,Jon Voight,Midnight Cowboy
2003,Actor in a Leading Role,0,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl
2007,Actor in a Leading Role,0,Johnny Depp,Sweeney Todd The Demon Barber of Fleet Street
2001,Actor in a Supporting Role,0,Jon Voight,Ali
2011,Actor in a Supporting Role,0,Jonah Hill,Moneyball
2013,Actor in a Supporting Role,0,Jonah Hill,The Wolf of Wall Street
1940,Actress in a Leading Role,0,Katharine Hepburn,The Philadelphia Story
1940,Actress in a Supporting Role,0,Judith Anderson,Rebecca
1948,Actor in a Supporting Role,0,Josí© Ferrer,Joan of Arc
1950,Actress in a Supporting Role,1,Josephine Hull,Harvey
1952,Actor in a Leading Role,0,Josí© Ferrer,Moulin Rouge
2008,Actor in a Supporting Role,0,Josh Brolin,Milk
1950,Actor in a Leading Role,1,Josí© Ferrer,Cyrano de Bergerac
1959,Actress in a Supporting Role,0,Juanita Moore,Imitation of Life
1963,Actress in a Supporting Role,0,Joyce Redman,Tom Jones
1965,Actress in a Supporting Role,0,Joyce Redman,Othello
1980,Actor in a Supporting Role,0,Judd Hirsch,Ordinary People
1997,Actress in a Leading Role,0,Judi Dench,Mrs. Brown
1999,Actor in a Supporting Role,0,Jude Law,The Talented Mr. Ripley
2003,Actor in a Leading Role,0,Jude Law,Cold Mountain
2005,Actress in a Leading Role,0,Judi Dench,Mrs. Henderson Presents
2013,Actress in a Leading Role,0,Judi Dench,Philomena
1998,Actress in a Supporting Role,1,Judi Dench,Shakespeare in Love
1942,Actress in a Leading Role,0,Katharine Hepburn,Woman of the Year
1950,Actress in a Leading Role,1,Judy Holliday,Born Yesterday
1954,Actress in a Leading Role,0,Judy Garland,A Star Is Born
1984,Actress in a Leading Role,0,Judy Davis,A Passage to India
1992,Actress in a Supporting Role,0,Judy Davis,Husbands and Wives
1961,Actress in a Supporting Role,0,Judy Garland,Judgment at Nuremberg
1951,Actor in a Supporting Role,1,Karl Malden,A Streetcar Named Desire
1952,Actress in a Leading Role,0,Julie Harris,The Member of the Wedding
1964,Actress in a Leading Role,1,Julie Andrews,Mary Poppins
1989,Actress in a Supporting Role,0,Julia Roberts,Steel Magnolias
2013,Actress in a Supporting Role,0,Julia Roberts,August: Osage County
2014,Actress in a Leading Role,1,Julianne Moore,Still Alice
1982,Actress in a Leading Role,0,Julie Andrews,Victor/Victoria
1997,Actress in a Leading Role,0,Julie Christie,Afterglow
2007,Actress in a Leading Role,0,Julie Christie,Away from Her
1954,Actor in a Supporting Role,0,Karl Malden,On the Waterfront
1970,Actress in a Supporting Role,0,Karen Black,Five Easy Pieces
1979,Actor in a Supporting Role,0,Justin Henry,Kramer vs. Kramer
1983,Actress in a Leading Role,0,Julie Walters,Educating Rita
2000,Actress in a Supporting Role,0,Julie Walters,Billy Elliot
2013,Actress in a Supporting Role,0,June Squibb,Nebraska
1951,Actress in a Leading Role,0,Katharine Hepburn,The African Queen
1991,Actress in a Supporting Role,0,Kate Nelligan,The Prince of Tides
2000,Actress in a Supporting Role,0,Kate Hudson,Almost Famous
1995,Actress in a Supporting Role,0,Kate Winslet,Sense and Sensibility
2015,Actress in a Supporting Role,0,Kate Winslet,Steve Jobs
1981,Actress in a Leading Role,1,Katharine Hepburn,On Golden Pond
1935,Actress in a Leading Role,0,Katharine Hepburn,Alice Adams
1939,Actor in a Leading Role,0,Laurence Olivier,Wuthering Heights
1943,Actress in a Supporting Role,1,Katina Paxinou,For Whom the Bell Tolls
1967,Actress in a Supporting Role,0,Katharine Ross,The Graduate
1986,Actress in a Leading Role,0,Kathleen Turner,Peggy Sue Got Married
1995,Actress in a Supporting Role,0,Kathleen Quinlan,Apollo 13
1990,Actress in a Leading Role,1,Kathy Bates,Misery
2002,Actress in a Supporting Role,0,Kathy Bates,About Schmidt
1946,Actor in a Leading Role,0,Laurence Olivier,Henry V
1946,Actor in a Leading Role,0,Larry Parks,The Jolson Story
1949,Actor in a Leading Role,0,Kirk Douglas,Champion
1951,Actress in a Supporting Role,1,Kim Hunter,A Streetcar Named Desire
1951,Actor in a Supporting Role,0,Kevin McCarthy,Death of a Salesman
1954,Actress in a Supporting Role,0,Katy Jurado,Broken Lance
1968,Actress in a Supporting Role,0,Kay Medford,Funny Girl
1988,Actor in a Supporting Role,1,Kevin Kline,A Fish Called Wanda
1989,Actor in a Leading Role,0,Kenneth Branagh,Henry V
2003,Actor in a Supporting Role,0,Ken Watanabe,The Last Samurai
2003,Actress in a Leading Role,0,Keisha Castle-Hughes,Whale Rider
2005,Actress in a Leading Role,0,Keira Knightley,Pride & Prejudice
2014,Actress in a Supporting Role,0,Keira Knightley,The Imitation Game
2011,Actor in a Supporting Role,0,Kenneth Branagh,My Week with Marilyn
1990,Actor in a Leading Role,0,Kevin Costner,Dances With Wolves
1995,Actor in a Supporting Role,1,Kevin Spacey,The Usual Suspects
1999,Actor in a Leading Role,1,Kevin Spacey,American Beauty
1952,Actor in a Leading Role,0,Kirk Douglas,The Bad and the Beautiful
1964,Actress in a Leading Role,0,Kim Stanley,Seance on a Wet Afternoon
1982,Actress in a Supporting Role,0,Kim Stanley,Frances
1956,Actor in a Leading Role,0,Kirk Douglas,Lust for Life
1957,Actress in a Leading Role,0,Lana Turner,Peyton Place
1985,Actor in a Supporting Role,0,Klaus Maria Brandauer,Out of Africa
1996,Actress in a Leading Role,0,Kristin Scott Thomas,The English Patient
1948,Actor in a Leading Role,1,Laurence Olivier,Hamlet
1959,Actor in a Leading Role,0,Laurence Harvey,Room at the Top
1991,Actress in a Leading Role,0,Laura Dern,Rambling Rose
2014,Actress in a Supporting Role,0,Laura Dern,Wild
1960,Actor in a Leading Role,0,Laurence Olivier,The Entertainer
1978,Actor in a Leading Role,0,Laurence Olivier,The Boys from Brazil
1940,Actor in a Leading Role,0,Laurence Olivier,Rebecca
1933,Actor in a Leading Role,0,Leslie Howard,Berkeley Square
1951,Actor in a Supporting Role,0,Leo Genn,Quo Vadis
1951,Actress in a Supporting Role,0,Lee Grant,Detective Story
1976,Actress in a Supporting Role,0,Lee Grant,Voyage of the Damned
1989,Actress in a Supporting Role,0,Lena Olin,"Enemies, A Love Story"
1953,Actress in a Leading Role,0,Leslie Caron,Lili
1971,Actor in a Supporting Role,0,Leonard Frey,Fiddler on the Roof
1977,Actress in a Supporting Role,0,Leslie Browne,The Turning Point
1982,Actress in a Supporting Role,0,Lesley Ann Warren,Victor/Victoria
1993,Actor in a Supporting Role,0,Leonardo DiCaprio,What's Eating Gilbert Grape
2015,Actor in a Leading Role,1,Leonardo DiCaprio,The Revenant
1963,Actress in a Leading Role,0,Leslie Caron,The L-Shaped Room
1938,Actor in a Leading Role,0,Leslie Howard,Pygmalion
1948,Actor in a Leading Role,0,Lew Ayres,Johnny Belinda
1931,Actor in a Leading Role,1,Lionel Barrymore,A Free Soul
1946,Actress in a Supporting Role,0,Lillian Gish,Duel in the Sun
1963,Actress in a Supporting Role,0,Lilia Skala,Lilies of the Field
1964,Actress in a Supporting Role,1,Lila Kedrova,Zorba the Greek
1993,Actor in a Leading Role,0,Liam Neeson,Schindler's List
1973,Actress in a Supporting Role,0,Linda Blair,The Exorcist
1975,Actress in a Supporting Role,0,Lily Tomlin,Nashville
1983,Actress in a Supporting Role,1,Linda Hunt,The Year of Living Dangerously
1984,Actress in a Supporting Role,0,Lindsay Crouse,Places in the Heart
1947,Actress in a Leading Role,1,Loretta Young,The Farmer's Daughter
1969,Actress in a Leading Role,0,Liza Minnelli,The Sterile Cuckoo
1972,Actress in a Leading Role,0,Liv Ullmann,The Emigrants
1976,Actress in a Leading Role,0,Liv Ullmann,Face to Face
1972,Actress in a Leading Role,1,Liza Minnelli,Cabaret
1949,Actress in a Leading Role,0,Loretta Young,Come to the Stable
1950,Actor in a Leading Role,0,Louis Calhern,The Magnificent Yankee
1961,Actress in a Supporting Role,0,Lotte Lenya,The Roman Spring of Mrs. Stone
1990,Actress in a Supporting Role,0,Lorraine Bracco,Good Fellas
1929,Actress in a Leading Role,1,Mary Pickford,Coquette
1931,Actress in a Leading Role,1,Marie Dressler,Min and Bill
1932,Actress in a Leading Role,0,Lynn Fontanne,The Guardsman
1936,Actress in a Leading Role,1,Luise Rainer,The Great Ziegfeld
1943,Actress in a Supporting Role,0,Lucile Watson,Watch on the Rhine
1975,Actress in a Leading Role,1,Louise Fletcher,One Flew over the Cuckoo's Nest
2016,Actor in a Supporting Role,0,Lucas Hedges,Manchester by the Sea
1937,Actress in a Leading Role,1,Luise Rainer,The Good Earth
1968,Actress in a Supporting Role,0,Lynn Carlin,Faces
2013,Actress in a Supporting Role,1,Lupita Nyong'o,12 Years a Slave
1936,Actress in a Supporting Role,0,Maria Ouspenskaya,Dodsworth
1938,Actress in a Leading Role,0,Margaret Sullavan,Three Comrades
1953,Actress in a Leading Role,0,Maggie McNamara,The Moon Is Blue
1966,Actress in a Leading Role,0,Lynn Redgrave,Georgy Girl
1998,Actress in a Supporting Role,0,Lynn Redgrave,Gods and Monsters
2009,Actress in a Supporting Role,0,Maggie Gyllenhaal,Crazy Heart
1962,Actor in a Leading Role,0,Marcello Mastroianni,Divorce--Italian Style
1965,Actress in a Supporting Role,0,Maggie Smith,Othello
2001,Actress in a Supporting Role,0,Maggie Smith,Gosford Park
2016,Actor in a Supporting Role,0,Mahershala Ali,Moonlight
1963,Actress in a Supporting Role,1,Margaret Rutherford,The V.I.P.s
1971,Actress in a Supporting Role,0,Margaret Leighton,The Go-Between
1985,Actress in a Supporting Role,0,Margaret Avery,The Color Purple
1995,Actress in a Supporting Role,0,Mare Winningham,Georgia
2000,Actress in a Supporting Role,1,Marcia Gay Harden,Pollock
2003,Actress in a Supporting Role,0,Marcia Gay Harden,Mystic River
1939,Actress in a Supporting Role,0,Maria Ouspenskaya,Love Affair
1941,Actress in a Supporting Role,0,Margaret Wycherly,Sergeant York
1996,Actress in a Supporting Role,0,Marianne Jean-Baptiste,Secrets & Lies
1932,Actress in a Leading Role,0,Marie Dressler,Emma
1940,Actress in a Leading Role,0,Martha Scott,Our Town
1940,Actress in a Supporting Role,0,Marjorie Rambeau,Primrose Path
1947,Actress in a Supporting Role,0,Marjorie Main,The Egg and I
1955,Actress in a Supporting Role,0,Marisa Pavan,The Rose Tattoo
1976,Actress in a Leading Role,0,Marie-Christine Barrault,"Cousin, Cousine"
1979,Actress in a Supporting Role,0,Mariel Hemingway,Manhattan
2007,Actress in a Leading Role,1,Marion Cotillard,La Vie en Rose
2014,Actress in a Leading Role,0,Marion Cotillard,"Two Days, One Night"
1992,Actress in a Supporting Role,1,Marisa Tomei,My Cousin Vinny
2008,Actress in a Supporting Role,0,Marisa Tomei,The Wrestler
1953,Actress in a Supporting Role,0,Marjorie Rambeau,Torch Song
1951,Actor in a Leading Role,0,Marlon Brando,A Streetcar Named Desire
1986,Actress in a Leading Role,1,Marlee Matlin,Children of a Lesser God
2006,Actor in a Supporting Role,0,Mark Wahlberg,The Departed
2010,Actor in a Supporting Role,0,Mark Ruffalo,The Kids Are All Right
2015,Actor in a Supporting Role,0,Mark Ruffalo,Spotlight
1989,Actor in a Supporting Role,0,Marlon Brando,A Dry White Season
1973,Actor in a Leading Role,0,Marlon Brando,Last Tango in Paris
1973,Actress in a Leading Role,0,Marsha Mason,Cinderella Liberty
1981,Actress in a Leading Role,0,Marsha Mason,Only When I Laugh
1941,Actress in a Supporting Role,1,Mary Astor,The Great Lie
1965,Actor in a Supporting Role,1,Martin Balsam,A Thousand Clowns
1988,Actor in a Supporting Role,0,Martin Landau,Tucker The Man and His Dream
1994,Actor in a Supporting Role,1,Martin Landau,Ed Wood
1962,Actress in a Supporting Role,0,Mary Badham,To Kill a Mockingbird
1986,Actress in a Supporting Role,0,Mary Elizabeth Mastrantonio,The Color of Money
1990,Actress in a Supporting Role,0,Mary McDonnell,Dances With Wolves
1992,Actress in a Leading Role,0,Mary McDonnell,Passion Fish
1929,Actor in a Leading Role,0,Paul Muni,The Valiant
1930,Actress in a Leading Role,1,Norma Shearer,The Divorcee
1930,Actor in a Leading Role,0,Maurice Chevalier,The Big Pond
1958,Actress in a Supporting Role,0,Maureen Stapleton,Lonelyhearts
1960,Actress in a Supporting Role,0,Mary Ure,Sons and Lovers
1980,Actress in a Supporting Role,1,Mary Steenburgen,Melvin and Howard
1980,Actress in a Leading Role,0,Mary Tyler Moore,Ordinary People
1970,Actress in a Supporting Role,0,Maureen Stapleton,Airport
1995,Actor in a Leading Role,0,Massimo Troisi,The Postman (Il Postino)
1997,Actor in a Leading Role,0,Matt Damon,Good Will Hunting
2015,Actor in a Leading Role,0,Matt Damon,The Martian
1981,Actress in a Supporting Role,1,Maureen Stapleton,Reds
1930,Actress in a Leading Role,0,Nancy Carroll,The Devil's Holiday
1933,Actress in a Leading Role,0,May Robson,Lady for a Day
1961,Actor in a Leading Role,1,Maximilian Schell,Judgment at Nuremberg
1988,Actor in a Leading Role,0,Max von Sydow,Pelle the Conqueror
2011,Actor in a Supporting Role,0,Max von Sydow,Extremely Loud & Incredibly Close
1977,Actor in a Supporting Role,0,Maximilian Schell,Julia
1935,Actress in a Leading Role,0,Miriam Hopkins,Becky Sharp
1935,Actress in a Leading Role,0,Merle Oberon,The Dark Angel
1949,Actress in a Supporting Role,1,Mercedes McCambridge,All the King's Men
1960,Actress in a Leading Role,0,Melina Mercouri,Never on Sunday
1985,Actress in a Supporting Role,0,Meg Tilly,Agnes of God
1988,Actress in a Leading Role,0,Melanie Griffith,Working Girl
1963,Actor in a Supporting Role,1,Melvyn Douglas,Hud
1977,Actress in a Supporting Role,0,Melinda Dillon,Close Encounters of the Third Kind
1981,Actress in a Supporting Role,0,Melinda Dillon,Absence of Malice
2008,Actress in a Leading Role,0,Melissa Leo,Frozen River
2010,Actress in a Supporting Role,1,Melissa Leo,The Fighter
2011,Actress in a Supporting Role,0,Melissa McCarthy,Bridesmaids
1970,Actor in a Leading Role,0,Melvyn Douglas,I Never Sang for My Father
1956,Actress in a Supporting Role,0,Mercedes McCambridge,Giant
1991,Actress in a Supporting Role,1,Mercedes Ruehl,The Fisher King
1938,Actress in a Supporting Role,0,Miliza Korjus,The Great Waltz
1939,Actor in a Leading Role,0,Mickey Rooney,Babes in Arms
1945,Actor in a Supporting Role,0,Michael Chekhov,Spellbound
1966,Actor in a Leading Role,0,Michael Caine,Alfie
1978,Actress in a Supporting Role,0,Meryl Streep,The Deer Hunter
2016,Actress in a Leading Role,0,Meryl Streep,Florence Foster Jenkins
1972,Actor in a Leading Role,0,Michael Caine,Sleuth
1947,Actor in a Leading Role,0,Michael Redgrave,Mourning Becomes Electra
